Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TTM,Tata Motors Ltd Tata Motors Limited,$31.31,0.77,2.521%,23976012353.00,India,,1499610,Capital Goods,Auto Manufacturing
TX,Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares USD1.00 par value),$38.07,-0.12,-0.314%,7473433263.00,Luxembourg,,447153,Basic Industries,Steel/Iron Ore
UBS,UBS Group AG Registered Ordinary Shares,$17.295,0.015,0.087%,59591123292.00,Switzerland,2014,2113569,Finance,Major Banks
UCL,uCloudlink Group Inc. American Depositary Shares,$2.703,0.043,1.617%,76728353.00,Hong Kong,2020,46400,Consumer Services,Telecommunications Equipment
UEPS,Net 1 UEPS Technologies Inc. Common Stock,$4.3867,-0.2233,-4.844%,250025292.00,South Africa,2005,58963,Technology,EDP Services
UL,Unilever PLC Common Stock,$50.8998,0.0498,0.098%,130769079363.00,United Kingdom,,3999103,Consumer Non-Durables,Package Goods/Cosmetics
UMC,United Microelectronics Corporation (NEW) Common Stock,$12.27,0.64,5.503%,30378991968.00,Taiwan,,15290207,Technology,Semiconductors
UP,Wheels Up Experience Inc. Class A Common Stock,$4.17,-0.47,-10.129%,1024736484.00,Singapore,2020,2619573,Transportation,Aerospace
UPC,Universe Pharmaceuticals Inc. Ordinary Shares,$2.1401,-0.0199,-0.921%,46547175.00,China,2021,68371,Health Care,Biotechnology: Pharmaceutical Preparations
URGN,UroGen Pharma Ltd. Ordinary Shares,$12.09,0.00,0.00%,271061729.00,Israel,2017,90880,Health Care,Biotechnology: Pharmaceutical Preparations
UTME,UTime Limited Ordinary Shares,$3.6012,-0.1488,-3.968%,29773976.00,China,2021,32504,Energy,Consumer Electronics/Appliances
UTSI,UTStarcom Holdings Corp.,$1.05,-0.02,-1.869%,37991223.00,China,2000,14147,Capital Goods,Telecommunications Equipment
UXIN,Uxin Limited ADS,$1.9799,-0.2301,-10.412%,786774959.00,China,2018,1586150,Miscellaneous,Business Services
VACC,Vaccitech plc American Depositary Shares,$12.18,-0.04,-0.327%,424502549.00,United Kingdom,2021,23869,,
VALN,Valneva SE American Depositary Shares,$62.34,-2.21,-3.424%,3271021131.00,France,2021,53095,,
VBLT,Vascular Biogenics Ltd. Ordinary Shares,$2.34,0.02,0.862%,162158761.00,Israel,2014,304889,Health Care,Biotechnology: Pharmaceutical Preparations
VCKA,Vickers Vantage Corp. I Ordinary Shares,$10.03,-0.021,-0.209%,173017500.00,Singapore,2021,5343,Finance,Business Services
VCKAU,Vickers Vantage Corp. I Unit,$10.28,-0.02,-0.194%,0.00,Singapore,2021,5832,Finance,Business Services
VCKAW,Vickers Vantage Corp. I Warrant,$0.5622,-0.0378,-6.30%,0.00,Singapore,2021,420,Finance,Business Services
VECT,VectivBio Holding AG Ordinary Shares,$3.20,-0.63,-16.449%,114757978.00,Switzerland,2021,100516,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VEON,VEON Ltd. ADS,$1.81,0.08,4.624%,3165920601.00,Netherlands,,4618724,Public Utilities,Telecommunications Equipment
VIOT,Viomi Technology Co. Ltd American Depositary Shares,$3.14,0.11,3.63%,217411747.00,China,2018,328624,Consumer Durables,Home Furnishings
VIPS,Vipshop Holdings Limited American Depositary Shares each representing two ordinary shares,$9.56,-0.21,-2.149%,6477459690.00,China,2012,5258161,Consumer Services,Catalog/Specialty Distribution
VJET,voxeljet AG American Depositary Shares,$7.14,-0.35,-4.673%,50170717.00,Germany,,73252,Capital Goods,Industrial Machinery/Components
VNET,VNET Group Inc. American Depositary Shares,$9.855,0.135,1.389%,1435600921.00,China,2011,2009448,Technology,EDP Services
